LGEA,NAME OF SCHOOL,ENROLMENT,,,NUMBER OF TEACHING STAFF,,
VANDEIKYA,"UBE JSS KOR, MBAJOR",79,106,185,2,0,2
VANDEIKYA,"UBE JSS UGYE, MBAGBERA",9,11,20,2,1,3
VANDEIKYA,"UBE JSS TSUA, MBAGBERA",40,50,90,4,1,5
VANDEIKYA,"UBE JSS USHABU, MBAGBERA",44,28,72,7,0,7
VANDEIKYA,"UBE JSS ABWA, MBADUKU",62,55,117,6,0,6
VANDEIKYA,"UBE JSS TOR, VANDEIKYA, TOWN",56,80,136,2,5,7
VANDEIKYA,"UBE JSS NAA, MBAGBERA",136,97,233,4,1,5
VANDEIKYA,"UBE JSS ADEIYONGO, TSAMBE",64,63,127,2,0,2
VANDEIKYA,"UBE JSS BAKO, MBANGUR",35,36,71,5,1,6
VANDEIKYA,"UBE JSS NGOKUGH, MBAUSU",51,31,82,2,0,2
VANDEIKYA,"UBE JSS SHANGBUM, MBAYONGU",79,62,141,3,0,3
VANDEIKYA,"UBE JSS HOLY EMMANUEL TSE-BEGHA, UTE",15,10,25,3,0,3
VANDEIKYA,"UBE JSS KPAMO, UTE",79,67,146,3,1,4
VANDEIKYA,"UBE JSS ADI, MBAKANGE",54,50,104,2,1,3
VANDEIKYA,"UBE JSS IORTYOM, MBANGUR",4,2,6,1,1,2
VANDEIKYA,"UBE JSS ADIGAM, MBADUKU",25,11,36,3,0,3
VANDEIKYA,"UBE JSS ASAN, MBAYONGU",46,32,78,2,0,2
VANDEIKYA,"UBE JSS BAKO, NINGEV",30,61,91,8,2,10
VANDEIKYA,"UBE JSS INGBIANBEGHA, MBAUSU",54,39,93,7,1,8
VANDEIKYA,"UBE JSS TSE-AKO, UTE",77,44,121,5,0,5
VANDEIKYA,"UBE JSS UKPE, MBAYONGO",83,81,164,3,0,3
VANDEIKYA,"UBE JSS DUGERI, MBADUKU",12,7,19,1,2,3
VANDEIKYA,"UBE JSS AKO, MBAABOHO",71,49,120,2,0,2
VANDEIKYA,"UBE JSS MBAKUNDE, MBAKANGE",50,59,109,1,3,4
VANDEIKYA,"UBE JSS CENTRAL, VANDEIKYA",281,147,428,6,3,9
VANDEIKYA,"UBE JSS IHUGH, MBAAKUNE, MBADEDE",0,0,0,1,1,2
VANDEIKYA,UBE JSS MBAAKON MBADEDE,0,0,0,3,0,3
VANDEIKYA,"UBE JSS NDERE, MBAWUAR",0,0,0,2,0,2
VANDEIKYA,"UBE JSS ANHWER, MBAKUNE",0,0,0,0,0,0
VANDEIKYA,"UBE JSS GUBE, MBAYONGO",0,0,0,0,0,0
